subject	message
"how to get the <live.dbpedia.org> prefix results for a resource via sparql query?"	"uHi, I see the triples for a resource with the prefix , by visiting a url for the resource in the format However, when I issue a sparql query against the Is there a way in which I can query the live.dbpedia.org sparql endpoint for triple results that use the prefix ? I am wondering if I am missing some triple results because of not building my sparql query correctly, as I am only able to get the triples with prefix ThanksArun uHi Arun, On 02/25/2013 04:10 AM, Arun Chippada wrote: The issue is fixed now and both methods should give the same results now. uThanks Morsey. Yes, I am able to see that both the methods are now returning the triple results with the prefix , for live.dbpedia.org. Do both of the methods (sparql query against endpoint and dereferencing via ThanksArun Date: Mon, 25 Feb 2013 21:06:44 +0100 From: To: CC: Subject: Re: [Dbpedia-discussion] how to get the prefix results for a resource via sparql query? Hi Arun, On 02/25/2013 04:10 AM, Arun Chippada wrote: Hi, I see the triples for a resource with the prefix , by visiting a url for the resource in the format for the movie \"Silver linings playbook\", I see several triples with the prefix by visiting However, when I issue a sparql query against the the returned results are using the prefix and I was never able to get any triples with the prefix . For example, for the below sparql query, all of the returned triples were using the prefix Is there a way in which I can query the live.dbpedia.org sparql endpoint for triple results that use the prefix ? I am wondering if I am missing some triple results because of not building my sparql query correctly, as I am only able to get the triples with prefix Thanks Arun The issue is fixed now and both methods should give the same results now. uHi Arun, On 02/26/2013 01:57 AM, Arun Chippada wrote:"
"Duplicate triples logged as deleted at DBPedia-Live"	"uHi, I was checking the live updates log, specifically this one: I noticed that it has a lot of repeated triples, e.g. < http://dbpedia.org/property/length> \"2740.0\"^^< http://dbpedia.org/datatype/second> . < http://dbpedia.org/property/type> . I know that technically it does not affect the storage, but I would like to know what is the reason of this \"dup\". Thanks in advance, uHi Luis, On 02/28/2012 05:19 PM, Luis Daniel Ibáñez González wrote: Thank you for spotting that issue, and we will fix it soon. uHi Luis, On 02/28/2012 05:19 PM, Luis Daniel Ibáñez González wrote: The problem is now resolved, and thanks for your reporting."
"Hello DBPedia!"	"uHi! First, a brief introduction. My name is Roberto Alsina, and my team at Canonical is using DBPedia in the upcoming ubuntu touch phone operating system to improve a suggestions engine. What we are doing is, when a user searches for something, we look it up in wikipedia, and then use the entity name in dbpedia to get properties, which we then associate with different results. For example: User types \"Metallica\" => Wikipedia matches => DBPedia says \"Type::band\" => We suggest searching in grooveshark and youtube All in all, the approach works remarkably well, but we are finding some missing mappings, and we'd like to help improve DBPedia :-) For example: most actors don't have occupation::Actor. Or, publicly traded companies (example: Microsoft) have a \"Traded as\" field in their infoboxes but no matching data in DBPedia. For the latter, adding mappings in Looking forward to working on this :-) Hi! First, a brief introduction. My name is Roberto Alsina, and my team at Canonical is using DBPedia in the upcoming ubuntu touch phone operating system to improve a suggestions engine. What we are doing is, when a user searches for something, we look it up in wikipedia, and then use the entity name in dbpedia to get properties, which we then associate with different results. For example: User types 'Metallica' => Wikipedia matches => DBPedia says 'Type::band' => We suggest searching in grooveshark and youtube All in all, the approach works remarkably well, but we are finding some missing mappings, and we&#39;d like to help improve DBPedia :-) For example: most actors don&#39;t have occupation::Actor. Or, publicly traded companies (example: Microsoft) have a 'Traded as' field in their infoboxes but no matching data in DBPedia. For the latter, adding mappings in"
"Add your links to DBpedia workflow version 0.1 (this is also an RFC)"	"uDear all, we thought that it might be a nice idea to simplify the workflow for creating outgoing links from DBpedia to your data sets. This is why we created the following GitHub repository: Please feel free to add new files and change the links and then send us a *pull request*. This message is an announcement as well as a request for comments. Here is a (non-exhaustive) list of open issue: - it is yet unclear, when the links will be loaded into - we plan weekly updates to - yago, freebase and flickrwrappr have been excluded due to their size ( > 0.5GB ) - there will be some quality control; not everybody will be able to include any links he wants to include. We are open to ideas how to manage this. Consider \"pull requests\" as \"application for inclusion\" - folder/file structure is still very simple, we will adapt upon uptake All the best, Sebastian"
"Missing package !"	"uHello everyone, I am trying to find a java package (\"jena_sparql_api\") which was developed as a wrapper to simplify sparql queries. However, I am not able to find a package for Jena_SPARQL_api which had cache\core and cache\extra. Please let me know where can I download the same. Thanking you in advance. Regards, Ankur. Hello everyone, I am trying to find a java package ('jena_sparql_api') which was developed as a wrapper to simplify sparql queries. However, I am not able to find a package for Jena_SPARQL_api which had cache\core and cache\extra. Please let me know where can I download the same. Thanking you in advance. Regards, Ankur. uCheck There you find how to set up your maven pom.xml. If you don't use maven, you can find the jars in the repository that is named there. Best /Magnus Am 08.03.2014 um 09:02 schrieb Ankur Padia:"
"Project Announcement: Infobox Mapping"	"uHi everyone, I'm Peng and a first-year M.Sc. in University of Alberta. My GSoC project is \"Inferring Infobox Template Class Mappings From Wikipedia and WikiData\". I've had a discussion with my mentor Nelish and figured out the whole picture of the work this summer. I plan to maintain the project public page on my own blog: public page . I will update my progress on this page every week. I'm glad to make my own efforts to DBpedia this summer. Any advice on my project will be appreciated. Thanks! Best Regards Peng Xu"
"When will be the next release of DBPedia 3.8?"	"uHello, Forks, My question is as the subject. Sorry for the bothering if there is already an answer before. Rong a new comer to DBPedia Hello, Forks, My question is as the subject. Sorry for the bothering if there is already an answer before. Rong a new comer to DBPedia uHi Rong, sorry for the late reply - our target for the DBpedia 3.8 release is late April. Also see this question on stackoverflow: Regards, Christopher On Fri, Mar 23, 2012 at 04:56, Rong Shen < > wrote:"
"LinkedUp Veni Competition: Linked and Open Data for Education"	"uApologies for cross-posting please circulate to anyone who may be interested"
"semantic in URIs, was:dbpedia-links: Recommendation for predicate "rdrel:manifestationOfWork" ?"	"uAm 07.05.2013 08:54 schrieb Mathieu Stumpf : it is not me who 've minted the predicate. If you want to know, just follow the link I think you mix something up. Don't put semantics into URIs! every predicate is a URI and thus has to follow the URI conventions[1], and that's it. From that, it is totally arbitrary and semantic agnostic. A label, on the other hand, would be something like skos:prefLabel where you get the natural language label (as values of skos:prefLabel predicate). This can be used for the presentation level of your app. See [2] for an example, 1. as an arbitrary URI and 2. look at the skos:prefLabel where you find the preferred labels for this URI in different languages. While URIs are semantically agnostic I personally find it convenient to have something speaking like dct:title in comparison to isbd:P1006 . And I would prefer english even if its not my native language, because English is todays lingua franca. hope this helps, oo [1] [2] T1001 uHi Mathieu, I think you have several questions and I will try to answer them: 1. CamelCase is easier to read. You can look at concatenated strings and see the words immediately 2. I18N: well, I have to admit, it is a little bit unfair to use English names in URIs, but these are more for developers. Normally, you wouldn't have any special chars in your Java or Python method names: \"public void Ã¼bersetzen () {} \" would be very unusual. However, internationalization is a real problem, here are pointers: There is a paper about this here: and also a W3C group (you are welcome to join): 3. The discussion whether to use readable URIs or IDs is very old. I couldn't find a good thread, but you might start here: Both have advantages, IDs are more scalable and also you can have versioning. The readable URIs are better for writing queries by hand. Sebastian Am 07.05.2013 14:48, schrieb Mathieu Stumpf:"
"dbpedia liveupdates"	"uDear All, I am working on collecting the Films/TVShows from dbpedia and all their relevant corresponding properties ( starring, directors, language,) as well as their abstracts, image and wikipdiaIDs. I downloaded the dbpedia3.9 but looks like starting Nov 2013 , they have started putting the liveupdates online. I am interested to get the recent movies/TVShows. My problem is that for each they there are way too many added and removed daily update files. I have two questions 1- Is there a single daily dump that includes all added and removed files? 2- Do the movie liveupdates include all the properties that the named Entities from the official release do? For example there is an infobox_properties file that includes some info about the dbpedia entries, so how about once a new entry is introduced, what happens to these infobox info? Are they included? Thank you Dear All, I am working on collecting the Films/TVShows from dbpedia and all their relevant corresponding properties ( starring, directors, language,) as well as their abstracts, image and wikipdiaIDs. I downloaded the dbpedia3.9 but looks like starting Nov 2013 , they have started putting the liveupdates online. I am interested to get the recent movies/TVShows. My problem is that for each they there are way too many added and removed daily update files. I have two questions 1- Is there a single daily dump that includes all added and removed files? 2- Do the movie liveupdates include all the properties that the named Entities from the official release do? For example  there is an infobox_properties file that includes some info about the dbpedia entries, so how about once a new entry is introduced, what happens to these infobox info? Are they included? Thank you uDear Hamid For more details on how DBpedia Live works I suggest you read the related publication [1]. Regarding the updates, we offer the dbpintegrator tool [2] that can sync your local triple store with DBpedia Live. This is the suggested option if you plan to make heavy use of the endpoint. Once you have the syncing done,we now provide the following properties: - dbpedia-owl:wikiPageExtracted - dbpedia-owl:wikiPageModified that you can use to check for newly extracted pages. DBpedia Live gets all information from the articles except from abstracts and images. Abstracts will be supported soon while for images we cannot offer real-time updates due to the current image Extractor architecture. Best, Dimitris [1] Mohamed Morsey, Jens Lehmann, SÃ¶ren Auer, Claus Stadler, Sebastian Hellmann, (2012) Â«DBpedia and the live extraction of structured data from Wikipedia\", Program: electronic library and information systems, Vol. 46 Iss: 2, pp.157 â 181 [2] On Thu, Mar 13, 2014 at 10:17 PM, Hamid Ghofrani < > wrote:"
"Is yago2class dataset for download a reduced dataset£¿"	"uHi all,Currently we are developping an application based on DBPedia entities and YAGO classes. The main source dataset is \"Links to YAGO\" on page ¡° According to YAGO:\"Conceptually, the hypernymy relation in WordNet spansa directed acyclic graph (DAG) with a single root node called entity\" @NameOfTheOntology,Now considering the YAGO2 dataset for class hierarchy, is it a reduced set(without dubpicated items:the third line) like the following case?class1 subclass class3class2 subclass class3class1 subcalss class3 (can be deduced from the first 2 triples ) @dbpedia-dicussion, Regarding the two hypothesis(1.YAGO2 did provid reduced dataset, 2.YAGO2 didn't ), would your extraction algorithm lead to the following items in \"Links to YAGO\" dataset?entity1 type leafClass1leafClass1 subclass upperClass1entity1 type upperClass1 (can be deduced from the first 2 triples) PS: In fact, according to our statistics extracted from \"Links to YAGO\", there are 1042 classes both considered as leafClass and upperClass.That's why we doubt there may be duplicated items in this dataset. Your help would be great appreciated! Thanks in advance.BRIvan Lv from China"
"Missing information in the Arabic chapter"	"uDear all; I am writing a small program to find similar triples in the ar.dbpedia.org graph. I successfully found many resources and extracted their URIs (or IRIs), but when I tried to open some of them (well a lot of them) on the browser, I get this result: \"No further information is available. (The requested entity is unknown)\" No information is shown what so ever. My question is this a problem with my code, or the data about resources isn't available for the Arabic chapter yet? It is worth mentioning that when I opened some of the URIs there is data. Examples of URIs: * uDear Ahmed, Try your code with resources like: and see the result if it is work or not. These resources already mapped and you can make queries on the Arabic Chapter using the SPARQL endpoint. Best Regards, Dr.Haytham Al-Feel From: Ahmed Ktob < > Sent: Thursday, May 5, 2016 5:08:11 PM To: Subject: [Dbpedia-discussion] Missing information in the Arabic chapter Dear all; I am writing a small program to find similar triples in the ar.dbpedia.org graph. I successfully found many resources and extracted their URIs (or IRIs), but when I tried to open some of them (well a lot of them) on the browser, I get this result: \"No further information is available. (The requested entity is unknown)\" No information is shown what so ever. My question is this a problem with my code, or the data about resources isn't available for the Arabic chapter yet? It is worth mentioning that when I opened some of the URIs there is data. Examples of URIs: ÇäÑÍêâ_ÇäåÎÊèå uDear Haytham, Thank you so much for your quick reply. I have tried the URIs you gave, they are working fine, and as I have mentioned in my previous post, many of the URIs I discovered are working fine. And this is because the content from wikipedia is currently mapped. The issue here is that some of the URIs I gave as examples (for instance: Wikipedia [1], but the has no content in ar.dbpedia.org. I wonder why? Maybe when extracting some of the templates were left off. Best regards, Ahmed. [1] On 7 May 2016 at 02:14, Dr.Haytham Al-Feel < > wrote:"
"DBpedia Project Update and Freebase Interlinking"	"uHi all, a quick update on what is happening around DBpedia along the lines of: 1. Freebase 2. Data Quality 3. Live Data There were great news from Freebase at ISWC. They are now providing a Linked Data interface which makes the complete content of Freebase accessible to the Semantic Web. This is especially exiting for DBpedia as both datasets have a large overlap and having RDF access to Freebase makes it easy to mashup and fusion both datasets. We are currently in the process of generating links from DBpedia to Freebase for all 2.49 million things in DBpedia. These links will go online sometime next week and will immediately allow to mash Freebase and DBpedia data for instance using tools like the Marbles Linked Data browser (which does owl:sameAs smushing). The links could also be the foundation for further work on fusing Freebase and DBpedia data, which I think will be very exiting and might show that the Semantic Web itself is developing into the world's database being fuelled by various valuable sources. There are also good news concerning DBpedia's two main problems: Low data quality and stall data. Georgi, Anja and Paul are getting close to publish a new cleaned-up DBpedia dataset based on the current Wikipedia dump. This extraction uses a new framework based on manual mappings of hundreds of Wikipedia templates to a clean ontology and improved datatype extraction algorithms. The new dataset is supposed to be released next week and should be clean enough to allow RDFS subsumption reasoning as well as to use it within facet browsering UIs. There is also great progress towards getting the DBpedia dataset current and synchronise it with Wikipedia changes: SÃ¶ren managed to convince the Wikipedia foundation to give us access to the Wikipedia live update stream, which tracks all changes in Wikipedia itself. Thanks a lot to the foundation for this! This is exactly what we needed. Based on this update stream we can sync DBpedia and Wikipedia, which will mean about 20 000 updates to the DBpedia dataset per day. Orri from OpenLink meant that this is no problem for the Virtuoso server which is used to host the DBpedia SPARQL endpoint and Linked Data interface. Thus after the new dataset is released, we will look into extending the extraction framework for continuous updates and are looking forward to be able to server a live version a DBpedia soon. Cheers Chris"
"DBPedia and thumbnail images"	"uHello all, When interacting with the DBPedia sparql endpoint, I usually have a need for loading a thumbnail of a topic in addition to the other information about it. For example, Films often have a thumbnail image associated with them, but so far I havent found any thumbnails of films that actually return a working image. I.e. The Hobbit has a broken image associated with it: Is there any plan to fix this behavior? Also, what are the challenges associated with pulling data from wikipedia that may be time sensitive (in this case, images that were once there, that are no longer there). Regards, Kristian Alexander PS: When I first encountered this issue, I asked a question about it on stack overflow, and there isnt a good solution to it, so if anyone does have a solution, feel free to post it there. dbpedia-owlthumbnail-image-paths-are-broken"
"Downtime estimate available?"	"uHi, Just wondering if there is an estimate on how long will be down for. I am not sure when it first went down but just wondering if there is maintenance or something going on for a known amount of time. Cheers, Peter Ansell uHello Peter, Peter Ansell schrieb: The wiki itself is hosted on one of our servers in Leipzig. You can reach it via should be a redirect to the Wiki.) The linked data interface has undergone some changes last week, which may be the reason why it is down now. We hope OpenLink will fix this issue soon. Kind regards, Jens uThanks, I was referring to the sparql endpoint and responder for Just wondering what the situation was :) Cheers, Peter 2008/7/21 Jens Lehmann < >: uHi Peter, The Dbpedia services are back online Best Regards Hugh Williams Professional Services OpenLink Software On 21 Jul 2008, at 08:22, Peter Ansell wrote:"
"How DBpedia Extraction Framework in Windows 7"	"uDear Adrian, I found a discussion between you and Mr.Dimitris on this link: for installing DBpedia extraction framework in windows. I spent very long time trying to run it on windows, but unfortunately I couldn't run it :( . So, can you please explain to me how can I run DBpedia Extraction Framework in Windows 7 64bit? Many thanks in advance! With Regards,Abdullah u uDear Adrian, Many thanks for your help, I really appreciate it. I will try to follow your instructions in order to run DBpedia Extraction Framework my machine and I will let if I have any problem. Many thanks. With Regards,Abdullah Date: Thu, 25 Jul 2013 12:58:36 -0700 From: To: CC: ; ; Subject: Re: [Dbpedia-discussion] How DBpedia Extraction Framework in Windows 7 Dear Abdullah, I answered you on your private mail. Best regards,Adrian On Thursday, July 25, 2013 9:06:52 PM UTC+2, Abdullah Nasser wrote: Dear Adrian, I found a discussion between you and Mr.Dimitris on this link: for installing DBpedia extraction framework in windows. I spent very long time trying to run it on windows, but unfortunately I couldn't run it :( . So, can you please explain to me how can I run DBpedia Extraction Framework in Windows 7 64bit? Many thanks in advance! With Regards,Abdullah uDear Adrian, While I'm trying to run DBpedia Extraction Framework in my machine (Windows 7 64bit) and when I reach to this step: \"Once everything is compiled, in the same maven's window you have to select DBpedia dump extraction ->Plugins -> scala ->scala:run\" , which is in the third section of installing DBpedia Extraction Framework , I got this error: \"C:\Program Files\Java\jdk1.7.0_07\bin\java\" -Dmaven.home=C:\maven -Dclassworlds.conf=C:\maven\bin\m2.conf -Didea.launcher.port=7533 \"-Didea.launcher.bin.path=C:\Program Files (x86)\JetBrains\IntelliJ IDEA Community Edition 12.1.4\bin\" -Dfile.encoding=UTF-8 -classpath \"C:\maven\boot\plexus-classworlds-2.4.jar;C:\Program Files (x86)\JetBrains\IntelliJ IDEA Community Edition 12.1.4\lib\idea_rt.jar\" com.intellij.rt.execution.application.AppMain org.codehaus.classworlds.Launcher uDear Abdullah, I only used download and extract goalsAs far as I understand Import is only needed for importing current wikipedia dumps into mediawiki for extracting abstracts. I have never used this goal on Windows. I don't need the abstracts currently so I never bothered with Import. My goal was just to create newer dumps without much headache and see how easy/hard it is to create new custom mappings using Scala. However please be aware that \home\release\wikipedia\wikipedias.csv - is a Linux path, not a Windows (C:\). As I said all paths need to be Windows paths if you want it to work. So please have a look at the paths from this file: (essentially the POM file for the dump sub-project)and notice that basically all the paths are Linux paths instead of the classic Windows paths (like C:\dumps\) If you want to extract the abstracts you also need to install MediaWiki on Windows and fix all those paths as far as I can tell. Best regards, Adrian On Sat, Jul 27, 2013 at 5:39 PM, Abdullah Nasser < > wrote: uDear Adrian, Many thanks for your help. Can you please tell me what should \"\home\release\wikipedia\" change to in windows? Because I don't know exactly what should I change this path in windows. For example I tried this: C:/Users/ANM/extraction-framework/extraction_framework/.hg/extraction_framework/dump but i'm not sure whether it is correct or not. With Regrads,Abdullah Date: Sat, 27 Jul 2013 17:52:19 +0200 Subject: Re: [Dbpedia-discussion] How DBpedia Extraction Framework in Windows 7 From: To: CC: ; Dear Abdullah,I only used download and extract goalsAs far as I understand Import is only needed for importing current wikipedia dumps into mediawiki for extracting abstracts.I have never used this goal on Windows. I don't need the abstracts currently so I never bothered with Import. My goal was just to create newer dumps without much headache and see how easy/hard it is to create new custom mappings using Scala. However please be aware that \home\release\wikipedia\wikipedias.csv - is a Linux path, not a Windows (C:\). As I said all paths need to be Windows paths if you want it to work. So please have a look at the paths from this file: (essentially the POM file for the dump sub-project)and notice that basicallyall the paths are Linux paths instead of the classic Windows paths (like C:\dumps\) If you want to extract the abstracts you also need to install MediaWiki on Windows and fix all those paths as far as I can tell. Best regards, Adrian On Sat, Jul 27, 2013 at 5:39 PM, Abdullah Nasser < > wrote: Dear Adrian, While I'm trying to run DBpedia Extraction Framework in my machine (Windows 7 64bit) and when I reach to this step: \"Once everything is compiled, in the same maven's window you have to select DBpedia dump extraction ->Plugins -> scala ->scala:run\" , which is in the third section of installing DBpedia Extraction Framework , I got this error: \"C:\Program Files\Java\jdk1.7.0_07\bin\java\" -Dmaven.home=C:\maven -Dclassworlds.conf=C:\maven\bin\m2.conf -Didea.launcher.port=7533 \"-Didea.launcher.bin.path=C:\Program Files (x86)\JetBrains\IntelliJ IDEA Community Edition 12.1.4\bin\" -Dfile.encoding=UTF-8 -classpath \"C:\maven\boot\plexus-classworlds-2.4.jar;C:\Program Files (x86)\JetBrains\IntelliJ IDEA Community Edition 12.1.4\lib\idea_rt.jar\" com.intellij.rt.execution.application.AppMain org.codehaus.classworlds.Launcher uHello Abdullah, This path: \"\home\release\wikipedia\" actually means the \"home\" directory of the \"release\" user on Linux. On Linux/Unix/MacOs they do not have the typical C:/, D:/, E:/ drivesbut rather a file system that mounts the folder directly so you need to have an easy way to find your folders(therefore \home\release\ would be just fine). You can as well put C:/wikipedia/ on windows for thatHowever I really have no idea what folder you need to use for MediaWiki under Windows. As I told you I was not interested in the abstracts Also somehow this path C:/Users/ANM/extraction-framework/extraction_ framework/.hg/extraction_framework/dump doesn't seems quite rightIt's just a feelingbut you should not have any .hg folders (related to old Mercurial dependencies I guess) At least as far as I remember I had no similar pathhmmI'm a bit lost here All my paths were clean C:/extraction-framework/dump directly Best regards, Adrian On Sat, Jul 27, 2013 at 10:21 PM, Abdullah Nasser < >wrote:"
"Unexpected answer to simple query"	"uHi All, I put to query: select ?x where {?x skos:broader ?x.} the second line in an answer is but in Wikipedia itself page does not have itself as a subcategory. What is wrong here? Alex Hi All, I put toÂ Alex"
"Help on forming this query (getting color names)"	"uHi everyone, I have a question with regards to forming a SPARQL query for DBPedia. I'm new to SPARQL and some help here will really be appreciated. What I'm trying to do is to pull off the list of colors, as well as their corresponding hex values off of this resource: My test SPARQL query to grab all of the content in there looks like this: SELECT ?property ?hasValue WHERE { ?property ?hasValue } And it looks good; I'm getting color names nicely split into separate elements: The problem is, the corresponding hex values are dumped further down in separate rows: http://dbpedia.org/property/hex 002FA7 This list of colors are ordered by their hex value, and so do not match the same order of the list of color names. So my question is this: how will I be able to grab the matching hex values for each color? Thanks and regards, Andrew uHi Andrew, First, where List_of_colors doesn't seems to be on the dbpedia endpoint ( So I had to tweak it a bit (dunno if all colors are there): SELECT ?colorName ?hexValue from WHERE { ?color . ?color ?hexValue. ?color ?colorName. } What I hope is that all colors have the property \"rgbspace\" with \" \" has object. From there you get hex-values with names (titles). The top 25 results are: * Names are weird though Hope this helps. Take care, Fred * uThanks for the quick reply Frederick, Hmm, List_of_colors does exist, and I got the basic results via this query on dbpedia's endpoint: SELECT * WHERE { ?p ?o} Please try this link: Can you check and see if that works? This list has a lot more colors and corresponding hex values and is the reason why I'm querying it. I just don't understand how I'll get the separated names and hex values to come together. Thanks also for the example you gave; that's a great way to get the names but due to the inconsistencies of the wikipedia content there's not too many colors that match the query. However I'll see how I can work with your example on the above resource. If anyone has a solution to the same question, i.e. getting names+hex values from the List_of_colors resource, I will be eternally grateful! Cheers, Andrew On May 6, 2008, at 11:10 AM, Frederick Giasson wrote: uHi Andrew, Ooups, yeah, sorry. So, there is what I propose: SELECT ?colorName ?hexValue WHERE { ?o. { ?o ?colorName. ?o ?hexValue. } filter (lang(?colorName) = \"en\"). } The result is here: I agree that it looks like much better :) Take care, Fred *"
"No abstract Field"	"uDear DBpedia developers, I'm struggling with following SPARQL-Query. select distinct ?abstract where { < dbpedia-owl:abstract ?abstract } I'm trying to get the value of dbpedia-owl:abstract, but there are no results. On the corresponding dbpedia-page is text in the dbpedia-owl:abstract Field. Can somebody give me a hint, what I'm doing wrong? greetings Sebastian Dear DBpedia developers, I&#39;m struggling with following SPARQL-Query. select distinct ?abstract where { < Sebastian uHi Sebastian, there's two issues here: 1) This query works only on the de.dbpedia.org/sparql endpoint, but not on dbpedia.org/sparql; I don't know which one you used. 2) For SPARQL, you have to use encoded URIs, so you have to rephrase your query to select distinct ?abstract where { dbpedia-owl:abstract ?abstract } These two tricks should do. Best, Heiko Am 22.07.2014 11:35, schrieb Sebastian Schwarz: uHi Sebastian, Thanks for reporting this issue, it seems we have some encoding issues in the Sparql endpoints. We should have it fixed in the next weeks when we update the datasets in the endpoints. Cheers, Alexandru On Mon, Jul 28, 2014 at 11:47 AM, Heiko Paulheim < > wrote:"
"Links to Geonames"	"uI'm a little perplexed re links to geonames: I downloaded see it has only 86,547 records; this is a very small subset of Wikipedia. I joined Geonames and Wikipedia beaches on name and lat/long and got + 30 matches. Why would these not be included? Am I missing something? Thanks for any help! Carlo I&#39;m a little perplexed re links to geonames: Carlo uHello, Carlo Brooks wrote: For some link datasets in DBpedia, there is no proper update mechanism included in the DBpedia SVN repository. In such cases, the link data sets are copied from the previous release. For Geonames, this means that the links you see were not recently updated (and can be as old as one or two years). The best way to improve the situation, in case up-to-date links are important for you, is to add a script (or a SILK file etc.), which can efficiently compute the links between the two data sets to the SVN repository, such that it can be run regularly. Kind regards, Jens uI see. Is there a way to access the svn directly as opposed to downloading I am not certain there is a better file, but if there is I would just like to know where I can access it Thanks much, Carlo On Mon, Apr 19, 2010 at 10:45 PM, Jens Lehmann < > wrote: uHello, Carlo Brooks wrote: SVN can be accessed as follows: However, the SVN contains the extraction framework (and not the data sets generated by it), so you won't find another Geonames link file there. Kind regards, Jens uOn Tue, Apr 20, 2010 at 1:45 AM, Jens Lehmann < > wrote: Is there a list someplace of who is responsible for each of these link sets and when they were last updated? I think I remember reading somewhere that the Freebase links were in a similar situation. Also, the last time the links were done they were made to the GUID form of the Freebase identifier, which I'm not sure is the best target (conversely, Freebase generates DBpedia for *every* Wikipedia article name, including redirects and misspellings, which doesn't seem right either). Tom uHello, Tom Morris wrote: If you go to the download page and click on a data set, you get some information (or scroll to the bottom of the page): To see whether data sets have changed compared to previous releases, you can go to Please note that within the last year the extraction framework was rewritten and the live extraction was implemented. It's difficult to improve all aspects of DBpedia within a short timeframe and most interlinking data sets were never designed for long term maintenance, but rather one time efforts. (Anyone is invited to contribute mapping code to DBpedia, of course, to improve the situation.) Kind regards, Jens uOn Tue, Apr 20, 2010 at 3:22 PM, Jens Lehmann < > wrote: Thanks. I'd seen that. I was hoping for something more along the lines of an email address or a person's name. The entries in question are: \"Links to Freebase - Links between DBpedia and Freebase. Update mechanism: unclear/copy over from previous release. \"Links to Geonames - Links between geographic places in DBpedia and data about them in the Geonames database. Provided by the Geonames people. Update mechanism: unclear/copy over from previous release.\" I'm willing to help out with that, but it would seem like the people who did the original mappings are likely to have knowledge, and perhaps even code, from their previous efforts which would be highly applicable to the task. Is all that knowledge really lost forever? Tom uTom Morris wrote:"
"Is this the right place to ask about weirdness with the faceted search interface for dbpedia?"	"uApologies if this is not the right venue for this, pointers much appreciated if this is true. Also, I'm rather sorry if you get this twice as my email addresses and mailing lists often have issues. I am using Safari 5.0.4 (5533.20.27) on OS-X 10.5 and 5.0.4 (6533.19.4) on OS-X 10.6 and am having problems with the faceted search: a) at bunch of results b) I go to the \"Types\" view, following the link in the top-right, then select \"Distinct Views (Aggregated)\" and odd things happen. Initially it was inserting additional constraints that I had previously added and then removed (e.g. a restriction to owl:Thing), but when I just tried it it swapped out my search term of \"M31\" for \"hello world\". I'm not sure if the URLs are of any use, but for me has the selection Entity1 has any Attribute with Value \"M31\" and if I then select \"Distinct values (Aggregated)\" I get taken to which now says Entity1 has any Attribute with Value \"hello world\" It gets worse: re-starting Safari and entering a new search term of \"Messier Galaxy\" takes me to which has the following two constraints: Entity1 has any Attribute with Value \"Messier Galaxy\" Drop. Entity1 = . Drop Whilst I do appreciate a good game of cricket like the next person, I'm currently more interested in galaxies than batsmen! Thanks from a very-confused Doug uApologies if this is not the right venue for this, pointers much appreciated if this is true. I am using Safari 5.0.4 (5533.20.27) on OS-X 10.5 and 5.0.4 (6533.19.4) on OS-X 10.6 and am having problems with the faceted search: a) at bunch of results b) I go to the \"Types\" view, following the link in the top-right, then select \"Distinct Views (Aggregated)\" and odd things happen. Initially it was inserting additional constraints that I had previously added and then removed (e.g. a restriction to owl:Thing), but when I just tried it it swapped out my search term of \"M31\" for \"hello world\". I'm not sure if the URLs are of any use, but for me has the selection Entity1 has any Attribute with Value \"M31\" and if I then select \"Distinct values (Aggregated)\" I get taken to which now says Entity1 has any Attribute with Value \"hello world\" It gets worse: re-starting Safari and entering a new search term of \"Messier Galaxy\" takes me to which has the following two constraints: Entity1 has any Attribute with Value \"Messier Galaxy\" Drop. Entity1 = . Drop Whilst I do appreciate a good game of cricket like the next person, I'm currently more interested in galaxies than batsmen! Thanks from a very-confused Doug uOn 3/17/11 12:55 PM, Douglas Burke wrote: Here its applying a DISTINCT based Aggregate. 1. 2. > for me has the selection See: > > UI is confusing for a plethora of reasons :-( The sequence is supposed to be as follows: Text Search Tab: 1. Enter a Text Pattern 2. Filter results by Entity Type or other Entity Attributes 3. Keep filtering until your happy across Type or Attributes dimensions 4. Once happy, click on Entity1 or EntityN (depending on how many Entities your interaction brings into scope re. query builder area at the top which also includes a SPARQL link etc) to see Entities that match your quest. Anyway, state what you seek, and I'll try to make a permalink or read:"
"Throttled requests"	"uHi, I am currently seeing 5s response times from dbpedia from my website's server, with 60ms from my home pc for the same requests. It looks to me like my server is being throttled. Which is possible as I was running some crawling scripts to warm my caches. Rather ironically so I wouldn't need to keep hitting dbpedia. Is there a way to get my server unthrottled whilst appologising profusely? Thanks, Alan Patterson Hi, I am currently seeing 5s response times from dbpedia from my website&#39;s server, with 60ms from my home pc for the same requests. It looks to me like my server is being throttled. Which is possible as I was running some crawling scripts to warm my caches. Rather ironically so I wouldn&#39;t need to keep hitting dbpedia. Is there a way to get my server unthrottled whilst appologising profusely? Thanks, Alan Patterson"
